Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/stats,44178,0,46,53.79372442905147,1.4130829986243043,341.1994580019382,105.83779256643578,1521.3847030014585,0.0,46,64,76,84,110,130,160,180,240,300,340
GET,/user/session/[id],14804,0,3,3.4007526669207464,0.6689170004392508,107.2678749987972,90.89435287760065,509.81436785806494,0.0,3,3,4,4,6,8,12,16,77,100,110
,Aggregated,58982,0,30,41.14550032734942,0.6689170004392508,341.1994580019382,102.08711132209827,2031.1990708595235,0.0,30,51,64,73,99,120,150,170,230,300,340
